Week,17_18_n,17_18_ASR,18_19_n,18_19_ASR,19_20_n,19-20_ASR
01-Sep,492,6.356112843542266,535,6.859554812989949,547,6.96317616095072
08-Sep,561,7.231490064615113,517,6.627799405604069,498,6.412863746755564
15-Sep,480,6.1413628760814865,453,5.789469275186207,499,6.355922940943762
22-Sep,465,6.002258041436923,459,5.93500519433731,487,6.17386730676297
29-Sep,430,5.4904379738666185,529,6.879513251230144,460,5.886050898762649
06-Oct,348,4.431666851529105,380,4.791834919666105,417,5.2550058738472805
13-Oct,393,5.163801507469023,406,5.195112645309455,362,4.587083085165314
20-Oct,571,7.581335826799714,491,6.330422176359773,422,5.3554774801590925
27-Oct,575,7.65640994700754,482,6.261378984260662,512,6.595965590465053
03-Nov,559,7.4288042830382865,540,7.098510766768973,549,7.102471536971319
10-Nov,511,6.766195668712021,470,6.131929395464526,612,7.879513184190673
17-Nov,436,5.742635233646689,504,6.576748914776546,674,8.628408856675183
24-Nov,434,5.714636575684851,484,6.263912129358031,495,6.34155382257134
01-Dec,409,5.31398956098867,463,6.023734771687056,639,8.190458468511167
08-Dec,390,5.175103762914625,431,5.609987125955726,667,8.490579628494787
15-Dec,449,5.867947146803741,379,4.846821419745575,570,7.2726130107012725
22-Dec,476,6.085563153823273,473,6.126801742546331,500,6.258737590968651
29-Dec,380,4.978433366730716,344,4.3734720969653855,554,6.868060711547309
05-Jan,349,4.51237839187986,349,4.430116871037835,468,5.804988586252325
12-Jan,283,3.6163491479495056,321,4.120874960105538,346,4.339737979118907
19-Jan,318,4.1201727924813625,336,4.259818771958777,344,4.337907342934083
26-Jan,308,4.049838870030808,380,4.905040729102406,364,4.644331987850961
02-Feb,462,6.113090535891123,434,5.673309412837045,402,5.174392810147056
09-Feb,657,8.742748130674018,648,8.540383442259802,434,5.630711946876486
16-Feb,573,7.545206442953451,682,8.977635908871763,556,7.252621518043677
23-Feb,529,6.9830085131199064,645,8.513057062717795,486,6.343628570198296
